name,description,category,url
American Fisheries Society Student Chapter at Virginia Tech,VTAFS is the only student run chapter of the American Fisheries Society that strives to promote all aspects of fisheries science and its related topics among undergraduate and graduate students.,Academic,https://gobblerconnect.vt.edu/vtafs/
American Foundry Society - Student Chapter at Virginia Tech,To educate students in metalcasting and foundry practices.,Academic,https://gobblerconnect.vt.edu/afsvt/
American Indian Science and Engineering Society at Virginia Tech,The American Indian Science and Engineering Society (AISES) serves as a forum for undergraduate and graduate students to build a native community in the STEM field by bridging science and technology with traditional values of cooperation and support.,Academic,https://gobblerconnect.vt.edu/aisesatvt/
American Institute of Aeronautics and Astronautics Student Branch at Virginia Tech,VT AIAA is dedicated towards fostering community and professional development opportunities for students interested in aerospace to strengthen their technical and professional knowledge of the aerospace field and to support career growth for all members.,Academic,https://gobblerconnect.vt.edu/vtaiaa/
American Institute of Architecture Students,American Institute of Architecture Students (AIAS),Academic,https://gobblerconnect.vt.edu/aias/
American Institute of Chemical Engineers at Virginia Tech,"AIChE at VT is a professional organization devoted to the development of Chemical Engineers at VT through meetings, corporate relations, etc.",Academic,https://vt-aiche.squarespace.com/
American Marketing Association,"An organization where college students, of any major, interested in the field of marketing can organize for mutual benefit. The primary goal is to allow students to gain hands-on marketing experience through local businesses and client work.",Academic,https://www.amavt.com/
American Medical Student Association Pre-Medical Chapter at Virginia Tech,"The American Medical Student Association (AMSA) is the oldest and largest independent association of physicians-in-training in the United States. At the pre-med level, we focus on helping to guide you along the path to medical school.",Academic,http://amsavt.wix.com/amsa
American Nuclear Society at Virginia Tech,"ANS at Virginia Tech is a Registered Student Organization of VT and a student section of the national American Nuclear Society and exists to aid students interested in nuclear science, and to promote the development and application of nuclear technology for the benefit of mankind. We offer…",Academic,https://student.ans.org/vt/
American Railway Engineering and Maintenance-of-Way Association Chapter at Virginia Tech,AREMA is an organization of engineering students interested in railroad engineering and the rail industry in general. All engineering majors are welcome.,Academic,https://sites.google.com/view/aremavt/home
American Sign Language Club,Come sign with us!! We are a group of passionate people excited to learn and spread awareness about ASL and Deaf culture. All levels of signing experience are welcome.,Advocacy & Awareness,https://gobblerconnect.vt.edu/asl/
American Society for Engineering Education Student Chapter at Virginia Tech,The American Society for Engineering Education (ASEE) Student Chapter at Virginia Tech is a student-based organization committed to furthering education in engineering.,Academic,https://enge.vt.edu/graduateprogram/student-groups/asee-vt.html
American Society of Agricultural and Biological Engineers,"The American Society of Agricultural and Biological Engineers is a professional networking organization dedicated to the advancement of agricultural, food, and biological systems engineering.",Academic,https://gobblerconnect.vt.edu/asabe/
American Society of Biomechanics Student Chapter at Virginia Tech/Wake Forest,The ASB Student Chapter aims to foster connections among ASB-affiliated students and faculty within and across universities. We will provide comprehensive intellectual and professional development among students interested in biomechanics research.,Academic,https://nactnow.org/
American Society of Civil Engineers at Virginia Tech,"The ASCE Chapter at Virginia Tech seeks to create an environment that fosters interaction and communication between CEE students, faculty, and practicing engineers through events for professional and technical development and social engagement.",Academic,http://www.asce.cee.vt.edu/
American Society of Landscape Architects,The Virginia Tech student chapter of the American Society of Landscape Architects.,Academic,https://gobblerconnect.vt.edu/aslavt/
American Society of Mechanical Engineers,"The ASME Student Section at Virginia Tech is committed to developing the leadership, teamwork, and social skills essential for its members to succeed in today's workforce.",Academic,https://asme.me.vt.edu/
American String Teachers Association at Virginia Tech,"The American String Teachers Association (ASTA) at Virginia Tech values lifelong learning, community building, and professional development for any and all students with a passion for music at Virginia Tech.",Academic,https://gobblerconnect.vt.edu/asta/
American Water Resources Association Student Chapter at Virginia Tech,"Our mission is to support local, regional, and national waterways through water education, service, management, and research.",Academic,http://vtechawra.weebly.com
Animal Science Graduate Student Association,&nbsp;This organization shall be known as the Animal Science Graduate Student Association (ASGSA) and shall be the primary source of service and reference to graduate students in the School of Animal Sciences (SAS).&nbsp;,Academic,https://gobblerconnect.vt.edu/asgsa/
Animal Service Club,This club works with various animal related organizations by volunteering and fundraising to help care for animals in need. We aim to encourage involvement with animal organizations as well as inform and promote interest in animal welfare.,Advocacy & Awareness,https://linktr.ee/vtpmcas
Appalachia Service Project at Virginia Tech,"ASP is a construction based service organization with the goal of making homes ""Warmer, Safer and Drier."" Join us on a weekend build to have fun, meet new people, and serve your community. No construction experience is required.",Advocacy & Awareness,https://groupme.com/join_group/102637918/yvG369KV
Appalachian Engineering at Virginia Tech,Quality of Life&#43; offers a unique opportunity to gain leadership experience while serving our local community. All majors and years welcomed.,Academic,https://qlplusvt.wixsite.com/virginiatech
Applied Analytics Consulting at Virginia Tech,"Our mission is to provide a space for students to gain skills in data analysis and consulting through challenging and meaningful work together (research, competitions, presentations, etc). We are a lean, structured analytics club which emphasizes clear communication, high quality work, and…",Professional & Career Development,https://gobblerconnect.vt.edu/AACVT/
Arabic Language Club at Virginia Tech,"The Arabic Language Club is a non-profit student organization that works on enhancing awareness of the Arabic language, heritage, and culture.",Cultural & International,https://gobblerconnect.vt.edu/organization/ALCVT
Archery Club at Virginia Tech,The Archery Club at Virginia Tech is a club that is focused around recreational and competitive archery.,Enthusiasts & Special Interests,https://gobblerconnect.vt.edu/archeryclubatvirginiatech/
Archimedes,"We are a student-led organization that supports four freshmen-only engineering design teams. All STEM majors are invited to participate in collegiate challenges hosted by NASA, Microsoft, RESNA, and ASME.",Academic,https://archimedesvt.org/
Arm Wrestling Club at Virginia Tech,"Our club aims to bring people from all levels of experience into this exhilarating sport of arm wrestling. We offer experienced athletes, training, knowledge, and technique work for anyone who is interested.",Enthusiasts & Special Interests,https://gobblerconnect.vt.edu/armwrestlingclub/
Art Club at Virginia Tech,"A club where people who wanted to take art classes or are interested in art can have the same art class experiences. We strengthen our technical skills, participate in figure drawing classes, and do critiques.",Arts & Entertainment,https://gobblerconnect.vt.edu/artclubatvt/
Artificial Intelligence and Machine Learning Club at Virginia Tech,"Explore data, algorithms, and endless possibilities. Ignite your passion for cutting-edge technology. Engage in lively discussions and collaborate on fascinating ML projects. Unravel the mysteries of AI with us!",Technology,https://vtaiml.github.io/
Ascend,"Ascend is a leading organization at Virginia Tech that empowers Pan-Asian students to achieve professional development skills. We strive to cultivate a culture of collaboration, innovation, and service that will inspire future generations of leaders.",Cultural & International,https://ascendatvt.org
Ascent Church at Virginia Tech,Ascent Church at Virginia Tech exists to connect students to Ascent Church where they'll encounter God and experience life in the church community.,Cultural & International,https://www.ascent-church.com/
ASDA Pre-Dental Chapter at Virginia Tech,"The Pre-Dental Club of Virginia Tech is designed to prepare the students of Virginia Tech for a career in dentistry. We create competitive applicants through educational workshops, general meetings with guest speakers, social events, and service events.",Academic,https://gobblerconnect.vt.edu/predental/
Asian American Student Union,The mission of AASU is to serve the Asian/Pacific Islander Desi American (APIDA) community within Virginia Tech.,Advocacy & Awareness,https://gobblerconnect.vt.edu/aasu/
Aspiring Journalists at Virginia Tech,"Aspiring Journalists at Virginia Tech is an organization dedicated to help prepare students for a career in journalism and other communication fields. Our goal is to ensure students gain experience, leadership skills and help diversify the newsroom",Advocacy & Awareness,https://gobblerconnect.vt.edu/ajorg/
Associated General Contractors at Virginia Tech,Our mission is to educate students in the field of general contracting and assist them in becoming important figures in a construction related field.,Professional & Career Development,https://gobblerconnect.vt.edu/AGCVT/
Association for Bangladeshi Students at Virginia Tech,ABS serves to bring together the Bangladeshi community at Virginia Tech and surrounding areas. We look after the interests of the Bangladeshi students and aim to connect them with each other and the local communities.,Cultural & International,http://www.abs.org.vt.edu/
Association for Supply Chain Management,"The collegiate chapter of the Association for Supply Chain and Operations Management. We coordinate tours of warehouse facilities, manufacturing plants, and professional development for our peers by industry professionals.",Academic,https://vtechascm.wixsite.com/site
Association for Women in Computing,"The Association for Women in Computing is a student-run, non-profit organization at Virginia Tech. For almost 20 years, we have worked to promote the recruitment and retention of women in technology - and computer - oriented professions.",Academic,https://awc-vt.netlify.app/#/
Association for Women in Mathematics,"The purpose of the Association for Women in Mathematics is to create a community in which women and girls can thrive in their mathematical endeavors, and to promote equitable opportunity and treatment of women and others of marginalized genders.",Academic,https://sites.google.com/view/awm-chapter-at-vt/home
Association of Asian Veterinary Medical Professionals,"The goal of the Association shall be to inspire, support, and increase the voice and visibility of Asians, Asian Americans and Pacific Islanders (AAPI) in the veterinary profession and advocate for greater general diversity in the veterinary profession.",Academic,https://gobblerconnect.vt.edu/aavmp/
Association of Certified Fraud Examiners at Virginia Tech,"The Association of Certified Fraud Examiners at Virginia Tech empowers students to explore fraud prevention and forensic accounting through networking, professional development, and ethical leadership opportunities.",Professional & Career Development,https://www.acfe.com/
Association of Chinese Students and Scholars at Virginia Tech,The organization. The Association of Chinese Students and Scholars at Virginia Tech (ACSS@VT) is established for the general welfare of the Chinese community at Virginia Tech.,Academic,https://vt-acss.org/
Association of Latinos for Mental Health Awareness,The Association of Latinos for Mental Health Awareness is an organization whose mission is to promote and destigmatize the topic of mental health within the Latino community.,Advocacy & Awareness,https://gobblerconnect.vt.edu/almha/
Association of Muslim Volunteers,"Association of Muslim Volunteers is a group of students who are passionate about giving back to our local community through service by embodying the Qur'anic words to ""cooperate with one another in righteousness and piety"".",Cultural & International,https://www.instagram.com/amv_vt/
Association of Property Management,"We are Virginia Tech’s Association of Property Management Club. This club is made up of current students, from all majors, where members have the opportunity to interface and network with guest speakers from the property management industry.",Academic,http://apmvt.weebly.com/gallery.html
Astrobotics at Virginia Tech,Astrobotics at Virginia Tech is a design team that participates in the NASA Lunabotics Competition.,Academic,http://www.vtastrobotics.com
Astronomy Club at Virginia Tech,This organization serves to foster and inspire interest in astronomy for both members and the general public.,Academic,https://www.vtastroclub.org/
AutoBoat at Virginia Tech,"Develop autonomous marine systems through hands-on engineering, interdisciplinary collaboration, and competition, while giving students practical experience in robotics, software, electrical systems, and mechanical design.",Academic,https://www.autoboat.aoe.vt.edu
Autonomous Delivery Vehicle Team,"ADVT exists to research, design, build, and test autonomous aerial vehicle systems, with an emphasis on safe, documented testing. This organization also serves to provide a learning platform for engineers and non-engineers.",Technology,https://www.advt.design/index.html
Badminton Club at Virginia Tech,"Our mission is to create an inclusive and welcoming badminton community at Virginia Tech where players of all skill levels can enjoy the sport, improve their skills, and connect with others. The club offers both casual and competitive play, with regular practices held at the Rec Field House and War…",Recreation,https://gobblerconnect.vt.edu/badminton/
Baja SAE,"The Baja SAE at Virginia Tech is an engineering design team that participates in a national competition to design, build, and test a single seat off-road vehicle to compete in informal and SAE sanctioned events.",Academic,https://www.vtbaja.com/
Baking Club at Virginia Tech,"We are all about baking, bonding, and enjoying awesome desserts together! Whether you're a pro or just starting out, we encourage bakers of all levels to join our club. We host bake sales, baking competitions, baking parties, and more!",Arts & Entertainment,https://gobblerconnect.vt.edu/bakingclubatvirginiatech/
Ballet Project at Virginia Tech,"The Ballet Project at Virginia Tech is the university’s only student-run ballet company. Our mission is to provide a fun and educational environment in which classical ballet can be explored, practiced and performed, along with other forms of dance.",Arts & Entertainment,https://gobblerconnect.vt.edu/balletproject/
Ballroom Dance at Virginia Tech,"A student organization dedicated to providing affordable ballroom dance lessons to the community. All are welcome, no partner or experience necessary; beginner lessons start from scratch.We teach: - Waltz - Cha Cha - Tango - Foxtrot - Rumba- Swing - Hustle - And More! Come dance with us this fall…",Arts & Entertainment,https://gobblerconnect.vt.edu/ballroom/
Bamboom Dance Crew,Bamboom is a student run organization that is primarily a competitive dance group. We are a group of individuals who all share a passion for dance and strive to share that with the community.,Arts & Entertainment,https://gobblerconnect.vt.edu/bamboomdancecrew/
Baptist Collegiate Ministries,"Baptist Collegiate Ministries at Virginia Tech is a student organization that exists to equip students to be after God's heart, in community, and on mission. We do that through opportunities like Bible studies, student-led worship, service projects, etc.",Religious,https://www.bcmvt.org
Barbie Club,"Focuses on the Barbie Cinematic Universe (BCU) and the following movies, shows, and culture surrounding Barbie. Most meetings will involve watching Barbie movies, having food days, and discussing her impact and possible theories on Barbie.",Arts & Entertainment,https://gobblerconnect.vt.edu/barbieclub/
Beekeepers at Virginia Tech,"An organization to promote apiculture in our community and school. We work to facilitate the involvement of our members in the art of keeping bees through group outings, educational lessons, arts and crafts, and community outreach.",Enthusiasts & Special Interests,https://discord.gg/8Wr2eMTjbp
Bevlee Watford Society,The goal of the Bevlee Watford Society for diversity in mining is to promote diversity and inclusion through professional development in the mining industry and educational outreach to prospective students and the surrounding community.,Academic,https://gobblerconnect.vt.edu/bevleewatfordsociety/
Bhangra at Virginia Tech,"Bhangra at Virginia Tech is a competitive, cultural dance team. Bhangra is a dance that originated in the state of Punjab, India. For over eighteen years, Bhangra @ VT has competed across the country while representing the Hokie pride and spirit.",Arts & Entertainment,https://gobblerconnect.vt.edu/bhangraatvt/
Biochemistry Club,We are an academic organization focused on serving Virginia Tech and the surrounding community by spreading knowledge of the principles and practices of biochemistry.,Academic,https://www.biochem.vt.edu/undergraduates/biochemistry-club.html
Bioinformatics at Virginia Tech,Bioinformatics at Virginia Tech aims to create a collaborative and inclusive environment for students interested in computational biology and bioinformatics.,Academic,https://gobblerconnect.vt.edu/bioinformatics/
Biological Sciences Graduate Student Association,"The mission of the Biological Sciences Graduate Student Association is to foster a supportive, inclusive, and collaborative community among graduate students in the biological sciences. The organization seeks to promote professional development, academic engagement, peer support, and social…",Academic,https://gobblerconnect.vt.edu/BGSA/
Biological Systems Engineering Graduate Student Organization,Act as a responsible voice and facilitate communication between the graduate students and BSE faculty.,Academic,https://gobblerconnect.vt.edu/bsegso/
Biomedical & Veterinary Sciences GSA,"We are the students and residents of the VMCVM BMVS graduate program seeking to promote academic, professional, socio-cultural, and service opportunities, as well as unity among graduate students and residents in the BMVS program.",Academic,https://bmvs.vetmed.vt.edu/current-students/graduate-student-association.html
Biomedical Engineering Society,"Our mission is to encourage the development, dissemination, integration, and utilization of knowledge in biomedical engineering, as well as to enhance interaction within the scientific community.",Academic,https://bmes.bme.vt.edu
Black Graduate Student Organization,The Black Graduate Student Organization (BGSO) is dedicated to the procurement and facilitation of resources and activities for the social and academic development of graduate students of African descent at Virginia Tech.,Advocacy & Awareness,https://gobblerconnect.vt.edu/bgso/
Black Muslim Collective at Virginia Tech,"The Black Muslim Collective is dedicated to building a network for black muslims throughout campus to foster community, friendships, and strengthen faith.",Advocacy & Awareness,https://gobblerconnect.vt.edu/bmcvt/
Black Organizations Council,"The Black Organizations Council (BOC) is the umbrella organization for the predominately African American organizations at Virginia Tech. The council serves as a liaison between the university administration, constituent organizations and the community.",Advocacy & Awareness,https://gobblerconnect.vt.edu/boc/
Black Student Alliance,"The Black Student Alliance (BSA) hosts social and educational events aimed at promoting a better understanding of black culture. These events include poets, speakers, concerts, comedians, and holiday celebrations.",Arts & Entertainment,https://bsavt.org
Blacksburg Ablaze,Blacksburg Ablaze is a church dedicated to helping each other grow spiritually by using the Bible as a foundation for our lives.,Religious,https://blacksburgablaze.org/
Blacksburg Ki Badmaashi,"Blacksburg Ki Badmaashi (BKB) is an intercollegiate dance competition in the Blacksburg, VA area that focuses on Fusion and Raas.",Arts & Entertainment,https://blacksburgkb.org/
BLOCK,BLOCK is a student-led digital asset reserve and trading organization centered around education and professional development.,Academic,https://blockatvt.framer.website/
Block and Bridle Club at Virginia Tech,Block and Bridle Club is an inclusive service organization that strives to promote a better understanding of animal agriculture and brings together those with an interest of Animal Science* as a career. *We take all majors!,Academic,http://vtblockandbridle.wixsite.com/vtblockandbridle
Bluegrass at Virginia Tech,"Bluegrass Club is a laid-back group for anyone who loves picking, singing, or just listening to bluegrass music. All instruments, skill levels, and styles are welcome. Whether you’re a beginner learning your first tune or a seasoned picker, come jam!",Arts & Entertainment,https://gobblerconnect.vt.edu/bluegrass/
Board Game Club at Virginia Tech,We play board games every Friday at 5pm in New Classroom Building (NCB).Anyone is Welcome!Join our Discord for updates: https://discord.gg/g6vcEUESJr,Enthusiasts & Special Interests,https://gobblerconnect.vt.edu/boardgames/
Bob Ross Club at Virginia Tech,"As the lovable Bob Ross says, ""Everyone needs a friend"". Come make new friends and paint along with Bob Ross with episodes from his show ""The Joy of Painting! Everyone is welcome and you don't need to be at a Bob Ross level of painting.",Arts & Entertainment,https://gobblerconnect.vt.edu/bobrossclub/
Body Positivity Awareness Club at Virginia Tech,"Our mission is to actively challenge body shaming and harmful beauty standards by creating education, dialogue, and visible campus presence around body image awareness, self-acceptance, and respect for all bodies. We exist to build a consistent, safe, and empowering space for students of all…",Other,https://gobblerconnect.vt.edu/BPAC/
BOLT,BOLT is an engineering design team dedicated to maintaining Virginia Tech's history of innovation by building an all-electric racing motorcycle.,Enthusiasts & Special Interests,https://www.vtbolt.com/
Bradley Study Center,"The Bradley Study Center serves Virginia Tech students, faculty/staff, and the larger community – by exploring the intersection of faith, learning, and calling within the life of the university.",Religious,https://www.bradleystudycenter.org/
Brain Bee at Virginia Tech,Our organization aims to motivate local high school students to learn about the brain and inspire them to pursue careers in neuroscience.,Academic,https://gobblerconnect.vt.edu/brainbee/
Breakdance (Bboy/Bgirl) Club,"We are the Flowmigos aka the Breakdance Club at Virginia Tech, a dance organization for all bboys and bgirls. We hope to spread hip-hop culture and help people find community and family through our club!",Arts & Entertainment,https://groupme.com/join_group/20083075/38FqZv
Bridge the Gap Tutors,To bridge the educational resource gap by organizing passionate college students to deliver free and accessible tutoring to K-12 students in rural areas communities.,Academic,https://gobblerconnect.vt.edu/BTGVT/
BridgeUSA at Virginia Tech,"BridgeUSA is a nonpartisan organization that hosts moderated discussions around current political events. We have the objective of encouraging students to engage in differing beliefs, experiences, and perspectives. What unites us is a shared mindset.",Academic,https://gobblerconnect.vt.edu/bridgeusa/
Building Goodness Foundation at Virginia Tech,"A group committed to helping the local and international community by designing, building, and funding construction-based projects for those in need.",Advocacy & Awareness,https://gobblerconnect.vt.edu/bgfvt/
Building Impactful Tech with Students at Virginia Tech,"BITS@VT gives students the chance to build meaningful, real-world tech projects—like course planning tools and AI study assistants—while growing their skills, leading teams, and making a real impact on the Virginia Tech community.",Academic,https://bitsatvt.com/
Building Women in Construction,Building Women in Construction is an organization provided to help women build successful careers and make meaningful connections in the construction industry.,Academic,https://gobblerconnect.vt.edu/bwic/
Burkhart Mining Society,"Burkhart Mining Society is the Virginia Tech student chapter of the Society for Mining, Metallurgy, and Exploration (SME).",Academic,http://www.mining.vt.edu
Car Club at Virginia Tech,"An organization for all people with a common love for cars. Events range from weekly social meets, autoX events, cruises, road trips to shows. Our mission is to provide a safe, legal, inclusive and fun environment for all types of automotive enthusiasts!",Enthusiasts & Special Interests,http://www.carclubvt.com/
Caribbean Student Organization,"CaribSO is a student-run organization that aims to share the varied and unique cultures of the Caribbean with the Virginia Tech Community, and facilitate the gathering of Caribbean people attending the university.",Cultural & International,https://gobblerconnect.vt.edu/caribso/
Cassell Guard,Cassell Guard is the official student section for the Virginia Tech Men's and Women's Basketball teams. Cassell Guard enhances our teams' home-court advantage at Cassell Coliseum and is now regarded as one of the best student sections in the nation.,Campus Spirit & Traditions,https://gobblerconnect.vt.edu/cassellguard/
Catholic Campus Ministry at Virginia Tech,"Our Mission is to support, challenge, and inspire students, faculty, and staff to grow in faith and live out their call to be true disciples of Christ on campus and in their daily lives. Founded on Christ’s teachings and the Eucharist, we prepare Catholic leaders for service to the Church and world…",Religious,https://catholichokie.org/
Cedars of Lebanon,To spread and promote Lebanese culture to all those interested campus-wide and throughout the community.,Arts & Entertainment,https://www.instagram.com/vt_lebanese/?hl=en
Center for Human Computer Interaction Student Council at Virginia Tech,"In alignment with the CHCI's mission, the CHCI Student Council was established to further enhance student engagement within the HCI community at Virginia Tech.",Academic,https://gobblerconnect.vt.edu/chcistudentcouncilatvt/
"Center for Refugee, Migrant, Displacement Studies Student Org.","Our mission is to promote belonging and solidarity by uplifting individuals through language exchange programs, mentorship, and community events--advocating for equity and inclusivity on campus and beyond.",Academic,https://gobblerconnect.vt.edu/crmdsstudentorg/
CHAARG at Virginia Tech,"CHAARG at Virginia Tech is a welcoming community that brings women together through workouts, social events, and meaningful connections. We strive to inspire confidence, encourage women to prioritize their physical and mental well-being, and create a space where everyone feels supported, empowered,…",Advocacy & Awareness,https://chaarg.com/
Chabad at Virginia Tech,"To create a home away from home for every Jewish student. Provide religious &amp; social events including Shabbat dinner, Torah classes &amp; additional services that enrich Jewish student life.",Religious,https://gobblerconnect.vt.edu/jewishvt/
